model,hf_id,multilingual_by_design,mono_recall@1,mono_recall@5,mono_recall@10,mono_mrr@10,cross_recall@1,cross_recall@5,cross_recall@10,cross_mrr@10
multilingual-e5-small,intfloat/multilingual-e5-small,True,0.775,0.9,0.94,0.8294,0.79,0.925,0.97,0.8553
multilingual-e5-base,intfloat/multilingual-e5-base,True,0.77,0.875,0.92,0.8167,0.765,0.92,0.965,0.8294
paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,True,0.15,0.28,0.37,0.2124,0.525,0.725,0.81,0.6185
LaBSE,sentence-transformers/LaBSE,True,0.58,0.755,0.82,0.6588,0.635,0.82,0.855,0.7174
BGE-M3,BAAI/bge-m3,True,0.84,0.935,0.95,0.8786,0.81,0.925,0.96,0.8631
all-MiniLM-L6-v2 (English-only control),sentence-transformers/all-MiniLM-L6-v2,False,0.01,0.015,0.03,0.0133,0.045,0.055,0.09,0.0533
